name;2014;dif2014;sco2014;code;iso;capitale;latitude;longitude
Papua New Guinea;44;(- 2);23.46;;PNG;Port Moresby;09.24S;147.08E
Romania;45;(- 2);23.48;;ROU;Bucuresti;44.27N;26.10E
United States;46;(- 13);23.49;;USA;Washington;38.53N;77.02W
Haiti;47;(+ 3);23.53;;HTI;Port-au-Prince;18.40N;72.20W
Niger;48;(- 4);23.59;;NER;Niamey;13.27N;02.06E
Italy;49;(+ 9);23.75;IT;ITA;Rome;41.54N;12.29E
Taiwan;50;(- 2);23.82;;TWN;#N/A;23.28N;121E
Malta;51;(- 5);23.84;;MLT;Valletta;35.54N;14.31E
Burkina Faso;52;(- 5);24.45;;BFA;Ouagadougou;12.15N;01.30W
Comoros;53;(- 1);24.52;;COM;Moroni;11.41N;43.16E
Serbia;54;(+ 10);25.05;;SRB;Belgrade;44.48N;20.23E
Argentina;55;( - );25.27;;ARG;Buenos Aires;36.30S;60.00W
Republic of Moldova;56;( - );25.35;;MDA;Chi?in?u;47N;28.55E
Republic of Korea;57;(- 6);25.66;;KOR;SÃ©oul;37.35N;127E
Chile;58;(+ 3);25.8;;CHL;Santiago;33.24S;70.40W
Japan;59;(- 5);26.02;;JPN;Tokyo;35.41N;139.46E
Mauritania;60;(+ 8);26.53;;MRT;Nouakchott;20.10S;57.30E
Hong Kong;61;(- 2);26.55;;HKG;#N/A;22.15N;114.10E
Senegal;62;(- 2);26.68;;SEN;Dakar;14.34N;17.29W
Tonga;63;(+ 4);26.7;;TON;Nuku'alofa;21.10S;174.00W
Hungary;64;(- 7);26.73;;HUN;Budapest;47.29N;19.05E
Croatia;65;( - );26.82;HR;HRV;Zagreb;45.50N;15.58E
Bosnia and Herzegovina;66;(+ 3);26.86;BA;BIH;Sarajevo;43.52N;18.26E
Guyana;67;(+ 3);27.08;;GUY;Georgetown;06.50N;58.12W
Dominican Republic;68;(+ 13);27.17;;DOM;Saint-Domingue;18.29N;69.55W
United Republic Of Tanzania;69;(+ 2);27.3;;TZA;Dodoma;6.11N;35.445E
Mauritius;70;(- 7);27.69;;MUS;Port-Louis;20.936S;57.3036E
Nicaragua;71;(+ 8);27.7;;NIC;Managua;12.06N;86.20W
Sierra Leone;72;(- 10);28.23;;SLE;Freetown;08.30N;13.17W
Malawi;73;(+ 3);28.29;;MWI;Lilongwe;14.00S;33.48E
Lesotho;74;(+ 8);28.36;;LSO;Maseru;29.18S;27.30E
Benin;75;(+ 5);28.83;;BEN;Porto Novo;06.23N;02.42E
Togo;76;(+ 8);29;;TGO;Lome;06.09N;01.20E
Timor-Leste;77;(+ 14);29.04;;TLS;Dili;8.33S;125.34E
Armenia;78;(- 3);29.07;;ARM;Yerevan;40.10N;44.31E
Mozambique;79;(- 5);29.26;;MOZ;Maputo;25.58S;32.32E
Kosovo;80;(+ 6);29.29;;RKS;PriÅ¡tina;42.40N;21.10E
Madagascar;81;(+ 8);29.38;;MDG;Antananarivo;18.55S;47.31E
Republic of the Congo;82;(- 5);29.44;;COG;Brazzaville;4.14S;15.1450E
Cyprus North;83;(+ 12);29.54;;NCYP;Nicosie;35.10N;33.21E
Georgia;84;(+ 17);29.78;;GEO;T'bilisi;41.43N;44.50E
Albania;85;(+ 18);29.92;;ALB;Tirane;41.18N;19.49E
Guinea-Bissau;86;(+ 7);30.05;;GNB;Bissau;11.45N;15.45W
Panama;87;(+ 25);30.2;;PAN;Panama;09.00N;79.25W
Mongolia;88;(+ 11);30.3;;MNG;Ulaanbaatar;47.55N;106.53E
Liberia;89;(+ 9);30.65;;LBR;Monrovia;06.18N;10.47W
Kenya;90;(- 18);30.7;;KEN;Nairobi;01.17S;36.48E
Kuwait;91;(- 13);30.71;;KWT;Kuwait;29.30N;48.00E
Bhutan;92;(- 9);30.73;;BTN;Thimphu;27.31N;89.45E
Zambia;93;(- 20);30.89;;ZMB;Lusaka;15.28S;28.16E
Bolivia;94;(+ 16);31.04;;BOL;La Paz;16.20S;68.10W
Ecuador;95;(+ 25);31.16;;ECU;Quito;00.15S;78.35W
Israel;96;(+ 17);31.19;;ISR;Jerusalem;31.71N;35.10E
Kyrgyzstan;97;(+ 10);31.24;;KGZ;Bishkek;42.54N;74.46E
Gabon;98;(- 8);31.32;;GAB;Libreville;00.25N;09.26E
Greece;99;(- 14);31.33;GR;GRC;Athens;37.58N;23.46E
Bulgaria;100;(- 12);31.42;;BGR;Sofia;42.45N;23.20E
CÃ´te d'Ivoire;101;(- 4);31.63;;CIV;Yamoussoukro;6.51N;5.18W
Guinea;102;(- 15);31.67;;GIN;Conakry;09.29N;13.49W
Seychelles;103;(- 9);31.68;;SYC;Victoria;4.37S;55.27E
Peru;104;(+ 2);31.7;;PER;Lima;12.00S;77.00W
Paraguay;105;(- 13);31.81;;PRY;Asuncion;25.10S;57.30W
Lebanon;106;(- 4);31.89;;LBN;Beirut;33.53N;35.31E
Fiji;107;(+ 1);32.57;;FJI;Suva;18.06S;178.30E
Maldives;108;(- 4);33.11;;MDV;Male;04.00N;73.28E
Central African;109;(- 43);33.13;;CAF;Bangui;4.22N;18.35E
Uganda;110;(- 5);33.29;;UGA;Kampala;00.20N;32.30E
Brazil;111;(- 2);34.03;;BRA;Brasilia;15.47S;47.55W
Nigeria;112;(+ 4);34.24;;NGA;Abuja;09.05N;07.32E
Qatar;113;(- 2);34.32;;QAT;Doha;25.15N;51.35E
Montenegro;114;( - );34.78;;MNE;Podgorica;42.47N;19.28E
Tajikistan;115;(+ 9);34.86;;TJK;Dushanbe;38.33N;68.48E
Venezuela;116;(+ 2);35.37;;VEN;Caracas;10.30N;66.55W
Brunei Darussalam;117;(+ 6);35.45;;BRN;Bandar Seri Begawan;04.52N;115.00E
United Arab Emirates;118;(- 3);36.03;;ARE;Abu Dhabi;24.28N;54.22E
South Sudan;119;(+ 6);36.05;;SSD;Djouba;4.51N;31.36E
Nepal;120;(- 1);36.16;;NPL;Kathmandu;27.45N;85.20E
Algeria;121;(+ 5);36.26;;DZA;Algiers;36.42N;03.08E
Mali;122;(- 22);36.29;;MLI;Bamako;12.34N;07.55W
Macedonia;123;(- 6);36.43;;MKD;Skopje;41.5954N;21.2552E
Angola;124;(+ 7);36.5;;AGO;Luanda;08.50S;13.15E
Guatemala;125;(- 29);36.61;;GTM;Guatemala;14.40N;90.22W
Colombia;126;(+ 4);36.68;;COL;Bogota;04.34N;74.00W
Ukraine;127;( - );36.93;;UKR;Kiev;50.30N;30.28E
Afghanistan;128;(+ 1);37.07;;AFG;Kabul;34.28N;69.11E
Honduras;129;(- 1);37.14;;HND;Tegucigalpa;14.05N;87.14W
Thailand;130;(+ 6);37.94;;THA;Bangkok;13.45N;100.35E
Cameroon;131;(- 10);38.13;;CMR;Yaounde;03.50N;11.35E
Indonesia;132;(+ 8);38.15;;IDN;Jakarta;06.09S;106.49E
Tunisia;133;(+ 6);38.69;;TUN;Tunis;36.50N;10.11E
Oman;134;(+ 8);38.83;;OMN;Masqat;23.37N;58.36E
Zimbabwe;135;(- 1);39.19;;ZWE;Harare;17.43S;31.02E
Morocco;136;(+ 1);39.72;;MAR;Rabat;34.02N;6.51W
Libya;137;(- 5);39.84;;LBY;Tripoli;32.54N;13.1109E
Palestine;138;(+ 9);40.11;;PSE;Jerusalem;31.54N;35.12E
Chad;139;(- 17);40.22;;TCD;N'Djamena;12.10N;14.59E
India;140;(+ 1);40.34;;IND;New Delhi;28.37N;77.13E
Jordan;141;(- 6);40.42;;JOR;Amman;31.57N;35.52E
Burundi;142;(- 9);40.5;;BDI;Bujumbura;03.16S;29.18E
Ethiopia;143;(- 5);40.58;;ETH;Addis Ababa;09.02N;38.42E
Cambodia;144;( - );40.97;;KHM;Phnom Penh;11.33N;104.55E
Myanmar;145;(+ 7);41.43;;MMR;Yangon;16.45N;96.20E
Bangladesh;146;(- 1);42.58;;BGD;Dhaka;23.43N;90.26E
Malaysia;147;(- 1);42.73;;MYS;Kuala Lumpur;03.09N;101.41E
Russian Federation;148;(+ 1);42.78;;RUS;Moscou;55.45N;37.42E
Philippines;149;(- 1);43.69;;PHL;Manila;14.40N;121.03E
Singapore;150;( - );44.29;;SGP;Singapour;1.17N;103.51E
The Democratic Republic Of The Congo;151;(- 8);44.64;;COD;Kinshasa;4.24S;15.24E
Mexico;152;(+ 2);45.04;;MEX;Mexico;19.20N;99.10W
Iraq;153;(- 2);45.44;;IRQ;Baghdad;33.20N;44.30E
Turkey;154;(+ 1);45.87;TR;TUR;Ankara;39.57N;32.54E
Gambia;155;(- 2);46.42;;GMB;Banjul;13.28N;16.40W
Swaziland;156;( - );46.76;;SWZ;Mbabane;26.18S;31.06E
Belarus;157;(+ 1);47.82;;BLR;Minsk;53.52N;27.30E
Pakistan;158;(+ 2);51.46;;PAK;Islamabad;33.40N;73.10E
Egypt;159;( - );51.89;;EGY;Cairo;30.01N;31.14E
Azerbaijan;160;(- 3);52.87;;AZE;Baku;40.29N;49.56E
Kazakhstan;161;( - );54.94;;KAZ;Astana;51.10N;71.30E
Rwanda;162;( - );56.57;;RWA;Kigali;1.58S;30.7E
Bahrain;163;(+ 3);58.26;;BHR;Manama;26.10N;50.30E
Saudi Arabia;164;( - );58.3;;SAU;Riyadh;24.41N;46.42E
Sri Lanka;165;(- 2);59.13;;LKA;Sri Jayawardenapura;6.54N;79.54E
Uzbekistan;166;(- 1);61.01;;UZB;Tashkent;41.20N;69.10E
Yemen;167;(+ 3);67.26;;YEM;Sanaa;15.2118N;44.1225E
Equatorial Guinea;168;(- 1);67.95;;GNQ;Malabo;03.45N;08.50E
Djibouti;169;(+ 1);70.34;;DJI;Djibouti;11.08N;42.20E
Cuba;170;(+ 2);70.92;;CUB;Havana;23.08N;82.22W
Lao People's Democratic Republic;171;(- 2);71.22;;LAO;Vientiane;17.58N;102.37E
Sudan;172;(- 1);71.88;;SDN;Khartoum;15.31N;32.35E
Islamic Republic of Iran;173;(+ 2);72.29;;IRN;Teheran;35.4029N;51.2520E
Vietnam;174;(- 1);72.36;;VNM;HanoÃ¯;21.2N;105.51E
China;175;(- 1);72.91;;CHN;Beijing;39.55N;116.20E
Somalia;176;( - );73.19;;SOM;Mogadishu;02.02N;45.25E
Syrian Arab Republic;177;( - );77.04;;SYR;Damas;33.3132N;36.1852E
Turkmenistan;178;( - );80.81;;TKM;Ashgabat;38.00N;57.50E
Democratic People's Republic of Korea;179;( - );81.96;;PRK;Pyongyang;39.2N;125.45E
Eritrea;180;( - );84.83;;ERI;Asmara;15.19N;38.55E
